rawX,rawY,rawZ,timestampsensorType
-1.2258313,3.8307228,9.691729,21,0
-1.0342951,3.9456444,9.80665,37,0
-0.6895301,3.715801,9.691729,70,0
-0.6512229,3.6391866,9.615114,76,0
-0.34476504,3.4476504,9.346964,95,0
-0.49799395,3.5625722,8.925584,120,0
-0.22984336,3.6008794,8.619126,142,0
-0.49799395,3.371036,9.040505,163,0
-0.6512229,3.4476504,9.155427,176,0
-0.61291564,3.4093432,8.887277,196,0
-0.5363012,3.2561142,8.925584,218,0
-0.61291564,3.2944214,8.619126,239,0
-0.61291564,3.217807,8.925584,270,0
-0.49799395,3.2944214,9.040505,281,0
-0.19153613,3.4093432,9.11712,295,0
-0.5746084,3.2944214,9.270349,320,0
-0.49799395,3.4476504,9.193734,337,0
-0.15322891,2.9113493,9.500193,356,0
-0.38307226,3.217807,8.887277,394,0
-0.5746084,3.715801,10.151415,397,0
-0.91937345,3.1411927,9.308656,416,0
-0.6512229,2.834735,9.768343,435,0
-0.7661445,3.1028855,9.461885,455,0
-0.7661445,2.7581203,9.193734,479,0
-0.4213795,2.7581203,9.193734,510,0
-0.6512229,3.0262709,9.346964,526,0
-1.0342951,2.681506,9.11712,539,0
-1.2258313,2.9113493,9.5385,555,0
-1.0342951,2.719813,9.346964,576,0
-0.7278373,2.566584,9.11712,595,0
-1.0726024,2.566584,9.615114,637,0
-1.4556746,2.6048915,9.346964,637,0
-1.2641385,2.681506,9.461885,656,0
-1.1492168,2.566584,9.385271,679,0
-1.1875241,2.4899697,9.270349,695,0
-0.842759,2.7964275,9.461885,720,0
-1.3024458,3.1028855,9.232041,756,0
-0.842759,2.834735,9.576807,756,0
-0.9576807,2.4899697,9.653421,778,0
-1.0342951,2.681506,8.082825,795,0
-2.183512,2.4516625,9.883265,818,0
-2.2984335,1.9153614,10.266336,836,0
-2.3750482,2.2218192,10.036493,871,0
-2.6431987,2.1452048,9.615114,886,0
-2.9496565,2.1068976,9.308656,895,0
-2.719813,2.7964275,9.346964,919,0
-2.719813,2.9879637,9.232041,939,0
-2.4133554,2.873042,9.155427,955,0
-2.336741,3.1028855,8.925584,991,0
-2.2601264,3.2944214,8.695741,998,0
-2.1068976,3.1794999,8.810662,1018,0
-2.183512,3.0262709,9.11712,1036,0
-2.566584,3.4476504,8.925584,1055,0
-2.2601264,3.4859576,9.615114,1079,0
-1.7621324,3.4476504,9.308656,1101,0
-1.3790601,2.4516625,8.772355,1119,0
-1.8387469,3.0262709,8.848969,1136,0
-2.4516625,3.86903,8.887277,1156,0
-2.834735,3.86903,8.695741,1179,0
-2.4133554,3.5625722,9.11712,1198,0
-2.2601264,3.4476504,8.734048,1244,0
-2.4516625,3.7541082,8.542512,1244,0
-2.528277,3.8307228,8.580819,1261,0
-2.566584,3.715801,8.580819,1276,0
-2.4899697,3.371036,8.6574335,1296,0
-2.336741,3.6391866,8.848969,1319,0
-2.528277,3.715801,8.580819,1339,0
-2.9496565,3.5242648,8.236053,1371,0
-2.873042,3.86903,8.772355,1381,0
-2.2984335,4.2521024,9.11712,1396,0
-1.9919758,3.3327289,8.963891,1419,0
-1.8004397,2.6048915,9.232041,1436,0
-1.0342951,2.7964275,9.232041,1458,0
-1.4556746,3.1794999,9.308656,1494,0
-2.2601264,3.5242648,9.691729,1497,0
-1.6089035,3.6774938,9.385271,1517,0
-1.0342951,3.7924154,8.465898,1536,0
-1.9536686,3.4093432,8.197746,1555,0
-1.8770541,2.7581203,6.703765,1579,0
-2.4133554,2.4899697,9.959879,1604,0
-2.6431987,2.7581203,10.419566,1647,0
-2.2984335,2.719813,9.80665,1647,0
-2.183512,2.834735,8.389283,1656,0
-1.2641385,2.681506,9.615114,1676,0
-1.1492168,2.2601264,9.768343,1695,0
-1.1875241,2.1068976,9.308656,1739,0
-1.0726024,2.3750482,9.232041,1744,0
-0.9959879,2.9879637,8.963891,1755,0
-1.1109096,2.719813,8.848969,1776,0
-1.7621324,2.4133554,9.883265,1799,0
-1.2641385,2.2218192,9.959879,1818,0
-1.2641385,2.4516625,9.5385,1836,0
-1.340753,2.183512,9.461885,1859,0
-2.528277,3.0262709,9.346964,1876,0
-0.6512229,1.9919758,10.457873,1898,0
-0.7278373,1.9153614,10.0748005,1919,0
